dataset,entry_title*,survey,start_time,end_time,project,description,platform,platformtype,pulsetype,RAW_files,WORK_files,LSSS_files,GRIDDED_files,CALIBRATION_file,METADATA_files,datacenter*,datacenter_person*,originating_institution*,originating_institution_person*,use_constraints*,access_constraints*,location*,iso_topic_category*,gcmd_science_keywords*,southern_latitude*,northern_latitude*,western_longitude*,eastern_longitude*,dataset_progress*,version,url_type*,url*
D2023007,CRIMAC Salmon experiment Austevoll part 4 -14 fish,,2023,,CRIMAC,"30 m deep net pen with 14 salmon around 2100 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023007/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023008,CRIMAC Salmon experiment Austevoll part 5 -18 fish,,2023,,CRIMAC,"30 m deep net pen with 18 salmon around 2600 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes. Jellyfish attach",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023008/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023009,CRIMAC Salmon experiment Austevoll part 6 -14 fish,,2023,,CRIMAC,"30 m deep net pen with 14 salmon around 3100 g. Echo sounder gimbal inside netpen - unsplitted, 4 pulsetypes. Jellyfish attach",AUSTEVOLL,gimbal inside net pen,,/data/crimac/2023/D2023009/ACOUSTIC/EK80/EK80_RAWDATA,/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Tonje Nesse Forland,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
D2023010,BIO102 Field Cruise - broadband measurements of mesopelagic layers,S2023006003,2023,,CRIMAC,BIO102 Field Cruise,KRISTINEBONNEVIE_1172,Hull mounted,FM,/data/cruise_data/2023/S2023006003_PKRISTINEBONNEVIE_1172/ACOUSTIC/EK80/EK80_RAWDATA,/data-scratch/2023/D2023010/ACOUSTIC/LSSS/WORK,,,/data-scratch/2023/D2023010/ACOUSTIC/EK80/EK80_RAWDATA/TrList_calibration.xml,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Espen Johnsen,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2005001,Test set for the CRIMAC preprocessor,S2005114,2005,,CRIMAC,/data/cruise_data/2005/S2005114_PGOSARS_4174,GOSARS_4174,Hull mounted,CW,/data/crimac/2005/T2005001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2005/T2005001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2006001,Test set for the CRIMAC preprocessor,S2006101,2006,,CRIMAC,/data/cruise_data/2006/S2006101_PGOSARS_4174,GOSARS_4174,Hull mounted,CW,/data/crimac/2006/T2006001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2006/T2006001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2007001,Test set for the CRIMAC preprocessor,S2007205,2007,,CRIMAC,/data/cruise_data/2007/S2007205_PJOHANHJORT_1019,JOHANHJORT_1019,Hull mounted,CW,/data/crimac/2007/T2007001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2007/T2007001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2009001,Test set for the CRIMAC preprocessor,S2009107,2009,,CRIMAC,/data/cruise_data/2009/S2009107_PGOSARS_4174,GOSARS_4174,Hull mounted,CW,/data/crimac/2009/T2009001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2009/T2009001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2010001,Test set for the CRIMAC preprocessor,S2010205,2010,,CRIMAC,/data/cruise_data/2010/S2010205_PJOHANHJORT_1019,JOHANHJORT_1019,Hull mounted,CW,/data/crimac/2010/T2010001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2010/T2010001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2010002,Test set for the CRIMAC preprocessor,S2010205_2,2010,,CRIMAC,/data/cruise_data/2010/S2010205_PJOHANHJORT_1019,JOHANHJORT_1019,Hull mounted,CW,/data/crimac/2010/T2010002/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2010/T2010002/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
T2012001,Test set for the CRIMAC preprocessor,S2012837,2012,,CRIMAC,S2012837_2,BRENNHOLM_4405,Hull mounted,CW,/data/crimac/2012/T2012001/ACOUSTIC/EK60/EK60_RAWDATA,/data/crimac/2012/T2012001/ACOUSTIC/LSSS/WORK,,,,,"Institute of Marine Research, Norwegian Marine Data Centre, Norway ",Arnfinn Morvik,Institute of Marine Research,Nils Olav Handegard,CC-BY 4.0,CC-BY 4.0,,,,,,,,,,,
